p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
8.45960255638e-16	4.34823571398e-13	Antigen processing and presentation - Homo sapiens (human)	KEGG	path:hsa04612	HSPA2; HLA-DRA; CTSL; HSPA6; HSPA5; HSPA4; PDIA3; HLA-DPB1; HLA-DRB5; HSP90AB1; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DQA2; HLA-DMA	3309; 3108; 3109; 3111; 3113; 3117; 3122; 3127; 3118; 1514; 3306; 2923; 3308; 3310; 3115; 3326	77	77
5.63025092622e-11	1.31588607678e-08	Asthma - Homo sapiens (human)	KEGG	path:hsa05310	HLA-DPB1; HLA-DRA; HLA-DRB5; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DQA2; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3118; 3122; 3127	31	30
7.6802689306e-11	1.31588607678e-08	Type I diabetes mellitus - Homo sapiens (human)	KEGG	path:hsa04940	HLA-DPB1; HLA-DRA; CPE; HLA-DRB5; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DQA2; HLA-DMA	3118; 3108; 3109; 3113; 3115; 3117; 3122; 3127; 1363; 3111	43	43
1.09835514945e-10	1.41138636705e-08	MHC class II antigen presentation	Reactome	R-HSA-2132295	HLA-DPB1; HLA-DRA; CTSL; CTSF; HLA-DRB5; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DQA2; HLA-DMA	3118; 3109; 3115; 3113; 3117; 1514; 3111; 3122; 3108; 8722; 3127	59	59
4.55053968806e-10	4.67795479933e-08	Allograft rejection - Homo sapiens (human)	KEGG	path:hsa05330	HLA-DPB1; HLA-DRA; HLA-DRB5; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DQA2; HLA-DMA	3117; 3118; 3108; 3109; 3111; 3113; 3115; 3122; 3127	38	37
1.03316213861e-09	8.85075565412e-08	Staphylococcus aureus infection - Homo sapiens (human)	KEGG	path:hsa05150	HLA-DPB1; HLA-DRA; HLA-DRB5; HLA-DOA; HLA-DPA1; C1R; HLA-DMB; HLA-DQA1; HLA-DQA2; HLA-DMA	3108; 3113; 3115; 3117; 3118; 3122; 3127; 715; 3109; 3111	56	55
1.22910319024e-09	9.02512913977e-08	Graft-versus-host disease - Homo sapiens (human)	KEGG	path:hsa05332	HLA-DPB1; HLA-DRA; HLA-DRB5; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DQA2; HLA-DMA	3117; 3118; 3108; 3109; 3111; 3113; 3115; 3122; 3127	41	41
1.78612125037e-09	1.14758290337e-07	Viral myocarditis - Homo sapiens (human)	KEGG	path:hsa05416	HLA-DPB1; HLA-DRA; CXADR; HLA-DRB5; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DQA2; HLA-DMA	3115; 3117; 3108; 3109; 3111; 3113; 3118; 3122; 3127; 1525	59	58
4.42121954329e-09	2.30804180326e-07	Phagosome - Homo sapiens (human)	KEGG	path:hsa04145	SFTPD; HLA-DPB1; HLA-DRA; CTSL; TUBB6; TUBB2A; HLA-DRB5; HLA-DOA; HLA-DPA1; C1R; HLA-DMB; HLA-DQA1; HLA-DQA2; HLA-DMA	3108; 3109; 3111; 3113; 3115; 3117; 3118; 3122; 3127; 7280; 84617; 715; 6441; 1514	152	151
4.49035370284e-09	2.30804180326e-07	Intestinal immune network for IgA production - Homo sapiens (human)	KEGG	path:hsa04672	HLA-DPB1; HLA-DRA; HLA-DRB5; HLA-DOA; HLA-DPA1; HLA-DMB; HLA-DQA1; HLA-DQA2; HLA-DMA	3117; 3118; 3108; 3109; 3111; 3113; 3115; 3122; 3127	49	47
