p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
1.30059781474e-06	0.000351161409979	O-linked glycosylation of mucins	Reactome	R-HSA-913709	B3GNT7; GCNT3; ST3GAL4; B3GNT8; MUC4; MUC5B; MUC15	6484; 143662; 93010; 9245; 374907; 4585; 727897	67	67
1.09697195265e-05	0.000990845500136	Metal sequestration by antimicrobial proteins	Reactome	R-HSA-6799990	S100A9; S100A8; LCN2	6279; 3934; 6280	6	6
1.1009394446e-05	0.000990845500136	Neutrophil degranulation	Reactome	R-HSA-6798695	SLPI; AOC1; B2M; LCN2; ALOX5; S100P; CEACAM1; C3; PPBP; MGST1; S100A9; S100A8; CEACAM6; OSTF1; TMEM173	6590; 4257; 5473; 634; 26; 340061; 6286; 6279; 3934; 240; 6280; 26578; 4680; 567; 718	490	485
4.99696238003e-05	0.00316546428288	O-linked glycosylation	Reactome	R-HSA-5173105	B3GNT7; GCNT3; ST3GAL4; B3GNT8; MUC4; MUC5B; MUC15	6484; 93010; 9245; 374907; 143662; 727897; 4585	116	116
5.86197089421e-05	0.00316546428288	Termination of O-glycan biosynthesis	Reactome	R-HSA-977068	MUC5B; MUC15; MUC4; ST3GAL4	6484; 143662; 4585; 727897	26	26
9.80647527775e-05	0.00404008063761	Keratinization	Reactome	R-HSA-6805567	IVL; KRT4; DSC2; KRT13; KRT6C; KRT6A; EVPL	1824; 3851; 3860; 2125; 3713; 3853; 286887	129	129
0.000104742831346	0.00404008063761	Acyl chain remodelling of PE	Reactome	R-HSA-1482839	HRASLS2; LPCAT4; RARRES3; PLBD1	254531; 5920; 79887; 54979	30	30
0.000146368574219	0.0049399393799	Vitamin D Receptor Pathway	Wikipathways	WP2877	CDKN2B; TGFB1; ALOX5; CEACAM1; S100A9; S100A8; KRT13; STEAP4	7040; 79689; 240; 6279; 6280; 1030; 634; 3860	184	184
0.000406290896336	0.0118148102974	Alternative complement activation	Reactome	R-HSA-173736	C3; CFB	718; 629	4	4
0.000437585566569	0.0118148102974	Innate Immune System	Reactome	R-HSA-168249	SLPI; AOC1; B2M; PELI1; LCN2; ALOX5; CFB; S100P; MUC4; CEACAM1; C3; PPBP; MGST1; S100A9; S100A8; CEACAM6; OSTF1; MUC5B; MUC15; TMEM173	6590; 57162; 4257; 5473; 634; 143662; 26; 4585; 6286; 6279; 3934; 240; 340061; 727897; 6280; 26578; 629; 4680; 567; 718	1077	1065
0.000774810370811	0.0190180727381	Chemokine receptors bind chemokines	Reactome	R-HSA-380108	CX3CL1; CCL28; PPBP; CXCL10	5473; 56477; 3627; 6376	50	50
0.00100472409059	0.0218460942482	Fibronectin matrix formation	Reactome	R-HSA-1566977	CEACAM1; CEACAM6	634; 4680	6	6
0.00105184898232	0.0218460942482	IL-17 signaling pathway - Homo sapiens (human)	KEGG	path:hsa04657	CXCL10; LCN2; S100A9; S100A8; MUC5B	3627; 6279; 6280; 727897; 3934	93	93
0.0013989814265	0.0269803560825	Activation of C3 and C5	Reactome	R-HSA-174577	C3; CFB	718; 629	8	7
0.00174378636238	0.0313881545228	Dectin-2 family	Reactome	R-HSA-5621480	MUC5B; MUC15; MUC4	143662; 4585; 727897	29	29
0.00353378920228	0.0596326927885	Type II interferon signaling (IFNG)	Wikipathways	WP619	CXCL10; REG1A; PSMB9	3627; 5698; 5967	37	37
0.00427902239101	0.0679609438572	antigen processing and presentation	BioCarta	mhcpathway	B2M; PSMB9	567; 5698	12	12
0.00678160452605	0.0785296213596	Cell adhesion molecules (CAMs) - Homo sapiens (human)	KEGG	path:hsa04514	LRRC4; SDC1; VTCN1; MAG; CD99	4099; 64101; 4267; 6382; 79679	144	143
0.00726627026077	0.0785296213596	Immune System	Reactome	R-HSA-168256	AOC1; LCN2; S100P; B2M; MGST1; MUC5B; TMEM173; PELI1; CEACAM1; PPBP; S100A9; S100A8; CEACAM6; C3; BLNK; ALOX5; CAMK2G; MUC4; OSTF1; MUC15; SLPI; CD99; SDC1; CFB; LMO7	26; 6286; 6279; 29760; 4680; 57162; 634; 4585; 6590; 340061; 6280; 629; 26578; 6382; 5473; 818; 4257; 143662; 4008; 3934; 240; 727897; 4267; 567; 718	1840	1827
0.00761334227437	0.0785296213596	Regulation of TLR by endogenous ligand	Reactome	R-HSA-5686938	S100A9; S100A8	6279; 6280	16	16
0.00776549526172	0.0785296213596	Post-translational modification: synthesis of GPI-anchored proteins	Reactome	R-HSA-163125	LY6D; PSCA; LYPD2; LYPD3	137797; 8000; 27076; 8581	95	94
0.00965454105217	0.0785296213596	Cell surface interactions at the vascular wall	Reactome	R-HSA-202733	TGFB1; CD99; SDC1; CEACAM1; MAG; CEACAM6	4267; 6382; 4680; 4099; 634; 7040	219	218
