p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
6.64277568694e-97	3.13539012424e-94	Cell Cycle	Reactome	R-HSA-1640170	HIST1H4C; BUB1B; PLK1; PLK4; PKMYT1; KIF2C; TPX2; NDC1; PRIM1; LIG1; RFC4; BRCA1; CENPN; CENPM; CENPK; OIP5; NUF2; CENPF; CENPE; CENPA; CENPW; CENPU; H2AFV; SGO2; SGO1; GTSE1; KIF23; NCAPH; NCAPG; TOP2A; SPC25; SPC24; NCAPG2; CLSPN; ZWINT; H2AFZ; NEK2; HAUS1; CHEK1; HMMR; SMC1B; BUB1; CDC25C; RHNO1; NCAPD2; TK1; ZWILCH; HIST1H2BH; GINS2; LMNB1; GINS4; UBE2C; CDC20; HIST1H3G; MIS18A; MASTL; RFC3; RFC2; FOXM1; NDC80; CDC6; SKP2; SMC2; CDT1; CKS1B; POLD1; POLD2; PTTG1; MCM2; CDK1; CDC45; KIF20A; TMPO; MAD2L1; DHFR; BIRC5; RRM2; VRK1; MYBL2; RMI2; HJURP; ESCO2; CENPH; SKA1; SKA2; AURKA; AURKB; CDCA5; CDCA8; PCNA; MCM10; ORC6; KIF18A; MCM7; MCM6; MCM5; MCM4; MCM3; SMC4; CCNA2; HIST2H2AC; MCM8; CCNB2; CCNB1; E2F1; CKAP5	55388; 6241; 1869; 4085; 9493; 6502; 9133; 55055; 2305; 348235; 9088; 4751; 3978; 79019; 84296; 1058; 8338; 55706; 83695; 891; 990; 701; 10592; 4172; 3161; 995; 55355; 55143; 983; 8355; 54069; 1063; 147841; 51512; 151246; 9793; 22974; 9232; 84515; 6790; 84930; 83540; 81620; 4174; 63967; 5424; 54892; 9918; 27127; 115106; 3015; 94239; 116028; 1719; 4001; 220134; 9212; 7443; 5982; 7083; 64151; 23594; 81930; 51659; 7112; 151648; 8318; 23397; 11339; 10112; 10051; 4173; 64105; 79682; 10403; 699; 4605; 1111; 1163; 5111; 5557; 4171; 672; 55839; 64946; 157570; 5983; 8364; 57405; 890; 11130; 4175; 8345; 5425; 332; 1062; 7153; 5347; 11004; 991; 10733; 4176; 113130; 387103; 11065; 5984	564	563
5.60844434036e-89	1.32359286433e-86	Cell Cycle, Mitotic	Reactome	R-HSA-69278	HIST1H4C; BUB1B; PLK1; PLK4; PKMYT1; KIF2C; TPX2; NDC1; PRIM1; LIG1; RFC4; CENPN; CENPM; CENPK; NUF2; CENPF; CENPE; CENPA; CENPU; RFC2; H2AFV; SGO2; SGO1; GTSE1; KIF23; NCAPH; NCAPG; SPC25; SPC24; NCAPG2; ZWINT; H2AFZ; NEK2; HAUS1; TOP2A; HMMR; BUB1; CDC25C; NCAPD2; TK1; ZWILCH; HIST1H2BH; GINS2; LMNB1; GINS4; UBE2C; CDC20; MCM2; MASTL; RFC3; SMC4; FOXM1; NDC80; CDC6; SKP2; SMC2; CDT1; CKS1B; POLD1; POLD2; PTTG1; CDK1; CDC45; KIF20A; TMPO; MAD2L1; DHFR; BIRC5; RRM2; VRK1; MYBL2; CCNA2; ESCO2; CENPH; SKA1; SKA2; AURKA; AURKB; CDCA5; CDCA8; PCNA; MCM10; ORC6; KIF18A; MCM7; MCM6; MCM5; MCM4; MCM3; HIST1H3G; HIST2H2AC; MCM8; CCNB2; CCNB1; E2F1; CKAP5	55388; 6241; 1869; 4085; 9493; 6502; 9133; 55055; 10051; 2305; 348235; 4751; 9212; 3978; 79019; 84296; 1058; 8338; 55706; 891; 990; 701; 10592; 4172; 3161; 995; 55143; 983; 8355; 1063; 1163; 147841; 51512; 151246; 9793; 22974; 9232; 84515; 6790; 84930; 83540; 4174; 5424; 54892; 9918; 115106; 3015; 94239; 1719; 4001; 220134; 7443; 5982; 7083; 64151; 23594; 81620; 23397; 81930; 51659; 7112; 151648; 8318; 10112; 4173; 64105; 79682; 10403; 699; 4605; 5111; 5557; 4171; 55839; 9088; 64946; 157570; 8364; 57405; 890; 11130; 4175; 8345; 5425; 332; 1062; 7153; 5347; 11004; 991; 10733; 4176; 5983; 113130; 11065; 5984	481	480
2.60409958361e-55	4.09711667822e-53	Cell Cycle Checkpoints	Reactome	R-HSA-69620	HIST1H4C; RFC3; MAD2L1; CLSPN; PLK1; ZWINT; BIRC5; PKMYT1; RFC2; BUB1B; BUB1; NDC80; KIF2C; CCNA2; NUF2; SKA1; ORC6; SKA2; CDC6; AURKB; RFC4; CDCA8; CHEK1; BRCA1; CENPN; CENPM; MCM10; CENPK; RMI2; CENPH; CDC25C; CENPF; CENPE; KIF18A; RHNO1; CENPA; MCM7; MCM6; MCM5; MCM4; MCM3; MCM2; ZWILCH; CENPU; HIST1H2BH; MCM8; CCNB2; CCNB1; SGO2; SGO1; GTSE1; CDC20; CDK1; CDC45; SPC24; UBE2C; SPC25; CKAP5	995; 5347; 55143; 64946; 55388; 983; 9212; 10403; 8364; 1063; 5982; 57405; 11130; 890; 147841; 51512; 23594; 4175; 151246; 9793; 9133; 348235; 84515; 55055; 81930; 151648; 332; 1062; 8318; 79682; 4171; 83540; 9088; 64105; 4085; 4174; 991; 4173; 220134; 79019; 1058; 4176; 672; 699; 63967; 1111; 83695; 11004; 5983; 8345; 891; 11065; 990; 701; 5984; 4172; 55839; 116028	250	249
9.68348075773e-46	1.14265072941e-43	M Phase	Reactome	R-HSA-68886	HIST1H4C; TMPO; MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; PLK4; NCAPG2; BUB1; H2AFZ; CENPK; NDC80; KIF2C; KIF20A; NEK2; NUF2; MASTL; SMC4; NDC1; HAUS1; SKA1; SKA2; AURKB; CDCA5; PTTG1; CDCA8; CENPN; CENPM; VRK1; CENPH; CENPF; CENPE; KIF18A; CCNB1; CENPA; NCAPD2; ZWILCH; CENPU; HIST1H2BH; HIST2H2AC; CCNB2; H2AFV; LMNB1; SGO2; UBE2C; HIST1H3G; KIF23; CDC20; CDK1; SMC2; NCAPH; NCAPG; SPC24; SGO1; SPC25; CKAP5	4001; 64946; 8345; 983; 9212; 10403; 8364; 55143; 7443; 64151; 57405; 11130; 147841; 81930; 4085; 151246; 9493; 9793; 9133; 9232; 55055; 4751; 23397; 11065; 7112; 10051; 151648; 332; 1062; 348235; 220134; 84930; 83540; 5347; 10112; 10733; 1063; 991; 11004; 79019; 1058; 64105; 8338; 79682; 55706; 54892; 699; 9918; 113130; 94239; 891; 701; 115106; 10592; 3015; 55839; 8355	340	339
1.26891774804e-37	1.19785835415e-35	Mitotic Prometaphase	Reactome	R-HSA-68877	MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; PLK4; BUB1; NDC80; KIF2C; NEK2; CENPH; SMC4; HAUS1; SKA1; SKA2; AURKB; CDCA5; CDCA8; CENPN; CENPM; CENPK; NUF2; CENPF; CENPE; KIF18A; CENPA; NCAPD2; ZWILCH; CENPU; CCNB2; CCNB1; SGO2; SGO1; CDC20; CDK1; SMC2; NCAPH; NCAPG; SPC24; SPC25; CKAP5	55143; 64946; 983; 9212; 1063; 64151; 57405; 11130; 147841; 10403; 4085; 55055; 151246; 9793; 9133; 23397; 81930; 151648; 332; 1062; 348235; 83540; 5347; 991; 11004; 10051; 220134; 79019; 1058; 64105; 10733; 79682; 699; 4751; 9918; 113130; 891; 701; 115106; 10592; 55839	186	186
4.73178242101e-37	3.72233550453e-35	Retinoblastoma Gene in Cancer	Wikipathways	WP2446	SMC2; STMN1; DHFR; RFC4; PLK4; RFC3; RRM2; RRM1; FANCG; SKP2; CDK1; DNMT1; CDT1; KIF4A; TTK; PRIM1; HMGB2; TOP2A; PCNA; ANLN; MCM7; MCM6; MCM4; MCM3; CCNA2; CCNB2; CCNB1; E2F1; H2AFZ; TYMS; CDC45; CHEK1	3925; 1786; 5983; 5984; 6240; 10592; 983; 10733; 3148; 1719; 54443; 81620; 24137; 7272; 6502; 3015; 7153; 9133; 7298; 5557; 6241; 1869; 2189; 4175; 4176; 4172; 4173; 5111; 1111; 890; 891; 8318	89	89
2.58001684786e-35	1.73966850313e-33	Resolution of Sister Chromatid Cohesion	Reactome	R-HSA-2500257	MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; BUB1; NDC80; KIF2C; NUF2; SKA1; SKA2; AURKB; CDCA5; CDCA8; CENPN; CENPM; CENPK; CENPH; CENPF; CENPE; KIF18A; CENPA; ZWILCH; CENPU; CCNB2; CCNB1; SGO2; SGO1; CDC20; CDK1; SPC24; SPC25; CKAP5	55143; 64946; 983; 9212; 1063; 57405; 11130; 147841; 4085; 55055; 151246; 9793; 9133; 81930; 151648; 332; 1062; 348235; 220134; 83540; 5347; 11004; 991; 79019; 1058; 64105; 79682; 10403; 699; 113130; 891; 701; 55839	109	109
3.53503678339e-34	2.0856717022e-32	Mitotic Anaphase	Reactome	R-HSA-68882	TMPO; MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; BUB1; CENPK; NDC80; KIF2C; NUF2; SKA1; SKA2; AURKB; CDCA5; PTTG1; CDCA8; CENPN; CENPM; VRK1; CENPH; CENPF; CENPE; KIF18A; CENPA; ZWILCH; CENPU; LMNB1; SGO2; SGO1; CDC20; SPC24; UBE2C; SPC25; CKAP5	4001; 55143; 64946; 9212; 7443; 57405; 11130; 147841; 4085; 55055; 151246; 9793; 9232; 81930; 11065; 7112; 151648; 332; 1062; 348235; 83540; 5347; 11004; 991; 220134; 79019; 1058; 64105; 79682; 10403; 699; 113130; 1063; 701; 55839	140	140
4.6486213894e-34	2.437943662e-32	Mitotic Metaphase and Anaphase	Reactome	R-HSA-2555396	TMPO; MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; BUB1; CENPK; NDC80; KIF2C; NUF2; SKA1; SKA2; AURKB; CDCA5; PTTG1; CDCA8; CENPN; CENPM; VRK1; CENPH; CENPF; CENPE; KIF18A; CENPA; ZWILCH; CENPU; LMNB1; SGO2; SGO1; CDC20; SPC24; UBE2C; SPC25; CKAP5	4001; 55143; 64946; 9212; 7443; 57405; 11130; 147841; 4085; 55055; 151246; 9793; 9232; 81930; 11065; 7112; 151648; 332; 1062; 348235; 83540; 5347; 11004; 991; 220134; 79019; 1058; 64105; 79682; 10403; 699; 113130; 1063; 701; 55839	141	141
3.77028344274e-31	1.77957378497e-29	Separation of Sister Chromatids	Reactome	R-HSA-2467813	MAD2L1; BUB1B; PLK1; ZWINT; BIRC5; BUB1; NDC80; KIF2C; NUF2; SKA1; SKA2; AURKB; CDCA5; PTTG1; CDCA8; CENPN; CENPM; CENPK; CENPH; CENPF; CENPE; KIF18A; CENPA; ZWILCH; CENPU; SGO2; SGO1; CDC20; SPC24; UBE2C; SPC25; CKAP5	55143; 64946; 9212; 57405; 11130; 147841; 4085; 55055; 151246; 9793; 9232; 81930; 11065; 151648; 332; 1062; 348235; 83540; 5347; 11004; 991; 220134; 79019; 1058; 64105; 79682; 10403; 699; 113130; 1063; 701; 55839	129	129
