p-value	q-value	pathway	source	external_id	members_input_overlap	members_input_overlap_geneids	size	effective_size
5.93371157694e-11	5.57768888232e-09	The citric acid (TCA) cycle and respiratory electron transport	Reactome	R-HSA-1428517	PDHA1; TRAP1; NDUFB5; SUCLG1; NDUFA10; GLO1; UQCRC2; IDH3B; UQCRC1	7384; 8802; 4711; 2739; 3420; 5160; 7385; 4705; 10131	173	173
4.36726617665e-09	2.05261510303e-07	Metabolism	Reactome	R-HSA-1430728	HACD3; IDH3B; TRAP1; PCCB; NDUFB5; PTGR1; MGST2; ECI2; PDHA1; SUCLG1; NDUFA10; MDH1; ALDH7A1; GLO1; DECR1; UQCRC2; SHMT1; UQCRC1	501; 10455; 4258; 5096; 2739; 7385; 22949; 6470; 7384; 4711; 1666; 51495; 8802; 3420; 4190; 4705; 5160; 10131	1972	1960
4.54908377032e-07	1.42537958137e-05	Citrate cycle (TCA cycle) - Homo sapiens (human)	KEGG	path:hsa00020	SUCLG1; PDHA1; IDH3B; MDH1	5160; 3420; 4190; 8802	30	30
1.34726500598e-06	3.16607276406e-05	Pyruvate metabolism - Homo sapiens (human)	KEGG	path:hsa00620	GLO1; PDHA1; MDH1; ALDH7A1	5160; 2739; 4190; 501	39	39
2.08525810535e-06	3.78970358864e-05	Respiratory electron transport	Reactome	R-HSA-611105	UQCRC2; NDUFB5; TRAP1; NDUFA10; UQCRC1	7384; 4705; 4711; 7385; 10131	100	100
2.41895973743e-06	3.78970358864e-05	Warburg Effect	SMPDB	SMP00654	PDHA1; MDH1; IDH3B; SUCLG1	5160; 3420; 8802; 4190	45	45
2.8872315266e-06	3.87713947857e-05	superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle	HumanCyc	PWY66-407	PDHA1; IDH3B; MDH1; SUCLG1	3420; 8802; 5160; 4190	48	47
5.06648144579e-06	5.48873814426e-05	Pyruvate metabolism and Citric Acid (TCA) cycle	Reactome	R-HSA-71406	GLO1; PDHA1; IDH3B; SUCLG1	3420; 8802; 5160; 2739	54	54
5.78424848749e-06	5.48873814426e-05	Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.	Reactome	R-HSA-163200	UQCRC2; NDUFB5; TRAP1; NDUFA10; UQCRC1	7384; 4705; 4711; 7385; 10131	123	123
8.48704269051e-06	5.48873814426e-05	TCA cycle	HumanCyc	PWY66-398	SUCLG1; IDH3B; MDH1	4190; 3420; 8802	19	19
1.16152974936e-05	5.48873814426e-05	Pyruvate dehydrogenase deficiency (E3)	SMPDB	SMP00550	PDHA1; IDH3B; SUCLG1	5160; 3420; 8802	21	21
1.16152974936e-05	5.48873814426e-05	Pyruvate dehydrogenase deficiency (E2)	SMPDB	SMP00551	PDHA1; IDH3B; SUCLG1	5160; 3420; 8802	21	21
1.16152974936e-05	5.48873814426e-05	2-ketoglutarate dehydrogenase complex deficiency	SMPDB	SMP00549	PDHA1; IDH3B; SUCLG1	5160; 3420; 8802	21	21
1.16152974936e-05	5.48873814426e-05	Mitochondrial complex II deficiency	SMPDB	SMP00548	PDHA1; IDH3B; SUCLG1	5160; 3420; 8802	21	21
1.16152974936e-05	5.48873814426e-05	Fumarase deficiency	SMPDB	SMP00547	PDHA1; IDH3B; SUCLG1	5160; 3420; 8802	21	21
1.16152974936e-05	5.48873814426e-05	Congenital lactic acidosis	SMPDB	SMP00546	PDHA1; IDH3B; SUCLG1	5160; 3420; 8802	21	21
1.16152974936e-05	5.48873814426e-05	Citric Acid Cycle	SMPDB	SMP00057	PDHA1; IDH3B; SUCLG1	5160; 3420; 8802	21	21
1.3429891204e-05	5.48873814426e-05	Pyruvate Dehydrogenase Complex Deficiency	SMPDB	SMP00212	GLO1; PDHA1; MDH1	4190; 2739; 5160	22	22
1.3429891204e-05	5.48873814426e-05	Primary hyperoxaluria II, PH2	SMPDB	SMP00558	GLO1; PDHA1; MDH1	4190; 2739; 5160	22	22
1.3429891204e-05	5.48873814426e-05	Pyruvate kinase deficiency	SMPDB	SMP00559	GLO1; PDHA1; MDH1	4190; 2739; 5160	22	22
1.3429891204e-05	5.48873814426e-05	Leigh Syndrome	SMPDB	SMP00196	GLO1; PDHA1; MDH1	4190; 2739; 5160	22	22
1.3429891204e-05	5.48873814426e-05	Pyruvate Metabolism	SMPDB	SMP00060	GLO1; PDHA1; MDH1	4190; 2739; 5160	22	22
1.3429891204e-05	5.48873814426e-05	Pyruvate Decarboxylase E1 Component Deficiency (PDHE1 Deficiency)	SMPDB	SMP00334	GLO1; PDHA1; MDH1	4190; 2739; 5160	22	22
2.53246450316e-05	9.91881930403e-05	The oncogenic action of 2-hydroxyglutarate	SMPDB	SMP02291	PDHA1; IDH3B; SUCLG1	5160; 3420; 8802	27	27
2.8322696698e-05	0.000106493339585	Omega-6 fatty acid metabolism	EHMN	Omega-6 fatty acid metabolism	ECH1; DECR1; ECI2	1891; 10455; 1666	28	28
3.1545141979e-05	0.000113447019436	The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria	SMPDB	SMP02358	PDHA1; IDH3B; SUCLG1	5160; 3420; 8802	29	29
3.49996123793e-05	0.000113447019436	TCA cycle	EHMN	TCA cycle	IDH3B; MDH1; SUCLG1	3420; 8802; 4190	30	30
3.49996123793e-05	0.000113447019436	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	KEGG	path:hsa00630	PCCB; SHMT1; MDH1	4190; 6470; 5096	30	30
3.49996123793e-05	0.000113447019436	The oncogenic action of D-2-hydroxyglutarate in  Hydroxygluaricaciduria 	SMPDB	SMP02359	PDHA1; IDH3B; SUCLG1	5160; 3420; 8802	30	30
